strategy,param,depth,mean_pLDDT,frac>70,frac>80,frac>90,RMSD
baseline,-,14594,96.94,0.98,0.98,0.95,0.00
delete,bpti_del5.a3m,14594,96.94,0.98,0.98,0.95,0.000
mutate,bpti_mut2.a3m,14594,96.74,0.98,0.98,0.95,0.182
shuffle,bpti_shuffle.a3m,14594,96.94,0.98,0.98,0.95,0.000
